"id","north_long","west_lat","south_long","east_lat","center_lat","center_long"
"1","56","7.99","53","4","6.5","54"
"2","56","11.99","53","8","10","54"
"3","56","16","53","12","13.5","54"
"4","52.99","7.99","51","4","6.5","52"
"5","52.99","11.99","51","8","10","52"
"6","52.99","16","51","12","13.5","52"
"7","50.99","7.99","49","4","6.5","50"
"8","50.99","11.99","49","8","10","50"
"9","50.99","16","49","12","13.5","50"
"10","48.99","7.99","46","4","6.5","48"
"11","48.99","11.99","46","8","10","48"
"12","48.99","16","46","12","13.5","48"
